question,a,b,c,d,correct
What is continuous batching?,"A. Continuous batching in Nitro is a method where requests are processed on a first-come, first-served basis without any delays. This approach ensures that each request is handled immediately as it arrives, maximizing real-time processing efficiency.
To enable continuous batching, you need to set `cont_batching` to true when loading the model using Nitro's API. Additionally, it is recommended to set `n_parallel` to match the `thread_num`, as detailed in the Multithreading documentation for optimal performance.

Here is an example of how to enable continuous batching:
```bash title=""Enable Batching"" {6,7}
curl http://localhost:3928/inferences/llamacpp/loadmodel \
  -H 'Content-Type: application/json' \
  -d '{
    ""llama_model_path"": ""/path/to/your_model.gguf"",
    ""ctx_len"": 512,
    ""cont_batching"": true,
    ""n_parallel"": 4,
  }'
```","B. Continuous batching in Nitro is the process of automatically updating and deploying model changes without server downtime. This feature ensures that the model is always up-to-date with the latest changes, making it highly responsive to new data inputs.

To enable continuous batching, you need to set `cont_batching` to true when loading the model using Nitro's API. Additionally, it is recommended to set `n_parallel` to match the `thread_num`, as detailed in the Multithreading documentation for optimal performance.

Here is an example of how to enable continuous batching:
```bash title=""Enable Batching"" {6,7}
curl http://localhost:3928/inferences/llamacpp/loadmodel \
  -H 'Content-Type: application/json' \
  -d '{
    ""llama_model_path"": ""/path/to/your_model.gguf"",
    ""ctx_len"": 512,
    ""cont_batching"": true,
    ""n_parallel"": 4,
  }'
```","C. Continuous batching refers to a technique in Nitro where the system continuously monitors and optimizes the allocation of resources like memory and CPU usage. This approach helps in maintaining the balance between performance and resource consumption.

To enable continuous batching, you need to set `cont_batching` to true when loading the model using Nitro's API. Additionally, it is recommended to set `n_parallel` to match the `thread_num`, as detailed in the Multithreading documentation for optimal performance.

Here is an example of how to enable continuous batching:
```bash title=""Enable Batching"" {6,7}
curl http://localhost:3928/inferences/llamacpp/loadmodel \
  -H 'Content-Type: application/json' \
  -d '{
    ""llama_model_path"": ""/path/to/your_model.gguf"",
    ""ctx_len"": 512,
    ""cont_batching"": true,
    ""n_parallel"": 4,
  }'
```","D. 
Continuous batching is a feature in Nitro that allows multiple requests for the same model execution to be combined into one batch, enhancing throughput and efficiency. This process involves grouping several tasks together and processing them as a single unit, which can lead to quicker response times and higher computational efficiency.

To enable continuous batching, you need to set `cont_batching` to true when loading the model using Nitro's API. Additionally, it is recommended to set `n_parallel` to match the `thread_num`, as detailed in the Multithreading documentation for optimal performance.

Here is an example of how to enable continuous batching:
```bash title=""Enable Batching"" {6,7}
curl http://localhost:3928/inferences/llamacpp/loadmodel \
  -H 'Content-Type: application/json' \
  -d '{
    ""llama_model_path"": ""/path/to/your_model.gguf"",
    ""ctx_len"": 512,
    ""cont_batching"": true,
    ""n_parallel"": 4,
  }'
```",D
What is the benefit of using Nitro?,"A. Nitro offers a comprehensive suite of machine learning algorithms that cater to a wide range of data analytics needs, from predictive modeling to natural language processing.","B. The main benefit of using Nitro is its compatibility with OpenAI. This means that it can work seamlessly with models and tools developed by OpenAI, making it a versatile tool for AI applications.","C. 
- Fast Inference: Built on top of the cutting-edge inference library `llama.cpp`, modified to be production ready.
- Lightweight: Only 3MB, ideal for resource-sensitive environments.
- Easily Embeddable: Simple integration into existing applications, offering flexibility.
- Quick Setup: Approximately 10-second initialization.
- Enhanced Web Framework: Incorporates `drogon cpp` to boost web service efficiency.","D. The primary advantage of using Nitro is its seamless integration with cloud services, allowing for easy scaling and management of large-scale data processing and storage.",C
What are the requirements to install Nitro on Linux?,"A. To install Nitro on Linux, you need the following prerequisites:
- jq (a lightweight and flexible command-line JSON processor)
- curl (a tool for transferring data with URLs)
- sudo (a program for executing commands as another user)

If any of these packages are not available, the script will suggest installation commands. Additionally, Nitro supports GPU on Linux and Windows only, and nvidia-cuda-toolkits-12.x is required on both platforms.

For detailed instructions on installing Nitro on Linux, refer to the Linux and MacOS Installation Guide.","B. To install Nitro on Linux, you need root privileges. This is because the installation process involves copying files to system directories and creating system services, which require administrative permissions.","C. On Linux, you need `jq`, `curl` and `sudo`. If `sudo` is not available, you must have passwordless sudo privileges. If `jq` or `curl` are not available, the script will attempt to suggest installation commands for these packages.","D. The user should follow the instructions in the ""Linux and MacOS Installation Guide"" provided in the context information.",A
How do I make an inference?,"A. To make an inference, you need to use the 'curl' command to send a POST request to the 'inferences/llamacpp/loadmodel' endpoint of your Nitro server. In this request, you should include the path to the model file and the context length","B. 1. For text-based inferences, use the following command:
```bash title=""Nitro Inference""
curl http://localhost:3928/v1/chat/completions \
  -H ""Content-Type: application/json"" \
  -d '{
    ""messages"": [
      {
        ""role"": ""user"",
        ""content"": ""Who won the world series in 2020?""
      },
    ]
  }'
```
2. For image-based inferences, use the following command:
```bash title=""Inference""
curl http://127.0.0.1:3928/v1/chat/completions \
  -H ""Content-Type: application/json"" \
  -H ""Authorization: Bearer $OPENAI_API_KEY"" \
  -d '{
    ""model"": ""gpt-4-vision-preview"",
    ""messages"": [
      {
        ""role"": ""user"",
        ""content"": [
          {
            ""type"": ""text"",
            ""text"": ""What’s in this image?""
          },
          {
            ""type"": ""image_url"",
            ""image_url"": {
              ""url"": ""<base64>""
            }
          }
        ]
      }
    ],
    ""max_tokens"": 300
  }'
```","C. To make an inference, you need to send a request to the Nitro server. The request should be sent to the URL 'http://localhost:3928/v1/chat' using the curl command.","D. For image-based inferences, use the following command:
```bash title=""Inference""
curl http://127.0.0.1:3928/v1/image/completions \
  -H ""Content-Type: application/json"" \
  -H ""Authorization: Bearer $OPENAI_API_KEY"" \
  -d '{
    ""model"": ""gpt-4-vision-preview"",
    ""messages"": [
      {
        ""role"": ""user"",
        ""content"": [
          {
            ""type"": ""text"",
            ""text"": ""What’s in this image?""
          },
          {
            ""type"": ""image_url"",
            ""image_url"": {
              ""url"": """"
            }
          }
        ]
      }
    ],
    ""max_tokens"": 300
  }'
```",B
I want to download a model; how can I do it?,"A. 

For this example, we'll use the Llama2 7B chat model.

```bash
mkdir model && cd model
wget -O llama-2-7b-model.gguf https://huggingface.co/TheBloke/Llama-2-7B-Chat-GGUF/resolve/main/llama-2-7b-chat.Q5_K_M.safetensor
```

This command will create a directory named 'model', change the current working directory to it, and then download the Llama2 7B chat model from Hugging Face using wget. The model file will be saved as 'llama-2-7b-chat.Q5_K_M.safetensor'.

If you want to download a different model, replace the URL in the wget command with the appropriate one for your desired model.

You can find more model in Huggingface.","B. You can download a model using the `wget` command in Linux and macOS, or the `Invoke-WebRequest` cmdlet in Windows PowerShell. Here is an example of how to download a model named 'testmodel' from the URL 'https://huggingface.co/TheBloke/Llama-2-7B-Chat-GGUF/resolve/main/llama-2-7b-chat.Q5_K_M.gguf?download=true':
```bash
# Download the model in Linux and macOS
wget -O /tmp/testmodel https://huggingface.co/TheBloke/Llama-2-7B-Chat-GGUF/resolve/main/llama-2-7b-chat.Q5_K_M.gguf?download=true

# Download the model in Windows PowerShell
Invoke-WebRequest -Uri 'https://huggingface.co/TheBloke/Llama-2-7B-Chat-GGUF/resolve/main/llama-2-7b-chat.Q5_K_M.gguf?download=true' -OutFile 'C:\tmp\testmodel'
```","C. 

For this example, we'll use the Llama2 7B chat model.

```bash
mkdir model && cd model
wget -O llama-2-7b-model.gguf https://huggingface.co/TheBloke/Llama-2-7B-Chat-GGUF/resolve/main/llama-2-7b-chat.Q5_K_M.gguf
```

This command will create a directory named 'model', change the current working directory to it, and then download the Llama2 7B chat model from Hugging Face using wget. The model file will be saved as 'llama-2-7b-chat.Q5_K_M.gguf'.

If you want to download a different model, replace the URL in the wget command with the appropriate one for your desired model.

You can find more model in Huggingface.","D. You can download a model by sending an HTTP request to the Nitro server. Here is an example of how you can download the Llama2 7B chat model:
```bash
curl http://localhost:3928/inferences/llamacpp/loadmodel \
-H 'Content-Type: application/json' \
-d '{
""llama_model_path"": ""/tmp/testmodel"",
""ctx_len"": 512,
""ngl"": 3072,
""embedding_dim"": 512,
""n_parallel"": 4,
""n_gpu"": 1,
""n_cpu"": 8,
""seed"": 0,
}'
```
This command sends a POST request to the specified URL with a JSON payload that includes the path to the model and other parameters.",C
Tell me the body schema of the Chat Completion API,A. The body schema of the Chat Completion API is defined in a JSON format. It specifies that the content type of the request should be 'application/json' and it references to a schema named 'ChatCompletionRequest'. This schema contains details about the data structure of the request,"B. The body schema of the Chat Completion API response is an object that contains a 'choices' array. Each choice in this array represents a possible completion for the chat message. A choice object has properties like 'index', 'message', 'finish_reason', etc. The 'message' property contains the actual text of the completion.","C. The body schema of the Chat Completion API is defined in the 'schema' field of the JSON data sent in the request. In this case, it refers to the '#/components/schemas/ChatCompletionRequest' component. This means that the structure and requirements for the body of the request are specified in the 'ChatCompletionRequest' schema.","D. ```json
{
  ""messages"": [
    {
      ""content"": ""Hello there :wave:"",
      ""role"": ""assistant""
    },
    {
      ""content"": ""Can you write a long story"",
      ""role"": ""user""
    }
  ],
  ""stream"": true,
  ""model"": ""gpt-3.5-turbo"",
  ""max_tokens"": 2048,
  ""stop"": [
    ""hello""
  ],
  ""frequency_penalty"": 0,
  ""presence_penalty"": 0,
  ""temperature"": 0.7,
  ""top_p"": 0.95
}
```",D
How do I configure it in Pal Chat?,"A. 1. Open Pal Chat application.
2. Go to Settings > Advanced settings.
3. Under ""Provide custom host"", enter your LAN IPv4 address (a series of numbers like 192.xxx.x.xxx).
4. Save the changes.
5. Now, you can start chatting with the model using Pal Chat.","B. To configure the Nitro library in Pal Chat, you need to replace 'api.openai.com' with 'localhost:3928' in your client settings. This will allow Pal Chat to work seamlessly with the Nitro library.","C. The exact steps to configure Nitro in Pal Chat may vary depending on the specific version and setup of both Nitro and Pal Chat. However, generally, you would need to access the settings or preferences for the chat functionality in Pal Chat, find the section where you can specify the AI model to use for chat completion, and enter the path to the `model` directory of your local Nitro installation.","D. In Pal Chat, navigate to the `OpenAI API Key` field and type any random text (e.g., key-xxxxxx).",A
What is Jan?,A. ,"B. Jan is a ChatGPT-alternative that runs on your own computer, with a local API server. It uses open-source AI models, stores data in open file formats, and is highly customizable via extensions. For additional details, please consult the Jan Documentation.","C. Jan is a lightweight, cross-platform desktop application for personal information management. It includes features like calendar, to-do list, notes, and reminders, all synchronized across devices for user convenience.","D. Jan is a high-performance, distributed database system known for its robust scalability and reliability in handling large-scale data. It is widely used in enterprise-level applications requiring complex data management.",B
"I want to make a dialog with Nitro, how to do it?","A. To make a dialog with Nitro, you need to send a POST request to the server. The request should contain an array of messages, where each message is an object with 'role' and 'content'. The 'role' can be either 'user' or 'assistant', and 'content' is the actual content of the message. Here's an example:
```bash
curl http://localhost:3928/v1/chat/completions \
-H ""Content-Type: application/json"" \
-d '{
""messages"": [
{
""role"": ""user"",
""content"": ""Who won the world series in 2020?""
},
]
}'
```","B. For ongoing conversations or multiple queries, the dialog request feature is ideal. Here’s how to structure a multi-turn conversation:
```
curl http://localhost:3928/v1/chat/completions \
  -H ""Content-Type: application/json"" \
  -d '{
    ""messages"": [
      {
        ""role"": ""system"",
        ""content"": ""You are a helpful assistant.""
      },
      {
        ""role"": ""user"",
        ""content"": ""Who won the world series in 2020?""
      },
      {
        ""role"": ""assistant"",
        ""content"": ""The Los Angeles Dodgers won the World Series in 2020.""
      },
      {
        ""role"": ""user"",
        ""content"": ""Where was it played?""
      }
    ]
  }'
```","C. ""For ongoing conversations or multiple queries, the dialog request feature is ideal. Here’s how to structure a multi-turn conversation:
```
curl http://localhost:3928/v1/dialog/completions \
  -H """"Content-Type: application/json"""" \
  -d '{
    """"messages"""": [
      {
        """"role"""": """"system"""",
        """"content"""": """"You are a helpful assistant.""""
      },
      {
        """"role"""": """"user"""",
        """"content"""": """"Who won the world series in 2020?""""
      },
      {
        """"role"""": """"assistant"""",
        """"content"""": """"The Los Angeles Dodgers won the World Series in 2020.""""
      },
      {
        """"role"""": """"user"""",
        """"content"""": """"Where was it played?""""
      }
    ]
  }'
```""","D. 1. Press Ctrl+B on any page to activate the chat dialog box.
2. If you want to open an independent conversation page, press Ctrl+Shift+H.
3. To summarize any page via the right-click menu, use Alt+B.",B
Tell me all the integration Nitro have,"A. Nitro has integrations with various platforms to enhance its functionality and usability. These include: 
1. OpenAI: Nitro is compatible with OpenAI, allowing it to work seamlessly with OpenAI's models and standards","B. I don't know about the specific integrations that Nitro has. However, I can provide you with the installation guide for Nitro which might give you some insights into its capabilities and potential integrations. The file path provided in the context information leads to a quickstart guide and an installation guide. You may want to check out the installation guide to learn more about Nitro's features and possible integrations.","C. Nitro has integrations with various platforms to enhance its functionality and usability. These include:
1. Jan
2. Pal Chat
3. OpenAI-node
4. OpenAI-python
5. Google Colab
6. browser","D. Nitro is integrated with Jan. This means that it can work seamlessly with Jan, a platform or tool.",C
Show me the way to load the model,"A. 

You can load the llm model using:

```bash title=""Load Model"" {1}
curl http://localhost:3928/inferences/llamacpp/loadmodel \
  -H 'Content-Type: application/json' \
  -d '{
    ""llama_model_path"": ""/path/to/your_model.gguf"",
    ""ctx_len"": 512,
  }'
```

For more detail on the loading model, please refer to [Table of parameters].(#table-of-parameters).

You can load vison model using:
```bash title=""Load Model"" {3,4}
curl -X POST 'http://127.0.0.1:3928/inferences/llamacpp/loadmodel' -H 'Content-Type: application/json' -d '{
   ""llama_model_path"": ""/path/to/gguf/model/"",
   ""mmproj"": ""/path/to/mmproj/model/"",
   ""ctx_len"": 2048,
   ""ngl"": 100,
   ""cont_batching"": false,
   ""embedding"": false,
   ""system_prompt"": """",
   ""user_prompt"": ""\n### Instruction:\n"",
   ""ai_prompt"": ""\n### Response:\n""
 }'
```","B. To load a model into the Nitro server, you can use the `curl` command with the `loadmodel` API. Here is an example:
```bash
curl http://localhost:3928/inferences/llamacpp/loadmodel \
-H 'Content-Type: application/json' \
-d '{
""llama_model_path"": ""/path/to/your_model.gguf"",
""ctx_len"": 512,
""ngl"": 0,
""use_fp16"": true
}'
```
In this command, replace `/path/to/your_model.gguf` with the actual path to your model file.","C. To load a vision model in Nitro library, you need to use the `curl` command. The command is as follows: 
```bash
curl http://localhost:3928/inferences/llamacpp/loadmodel \
-H 'Content-Type: application/json' \
-d '{
""llama_model_path"": ""/path/to/your_model.gguf"",
""ctx_len"": 512,
""ngl"": 100,
}'
```","D. To load the llm model, you need to use curl command in your terminal. Here is how you do it:
```bash title=""Load Model"" {3,4}
curl -X POST 'http://127.0.0.1:3928/inferences/llamacpp/loadmodel' -H 'Content-Type: application/json' -d '{
   ""llama_model_path"": ""/path/to/gguf/model/"",
   ""mmproj"": ""/path/to/mmproj/model/"",
   ""ctx_len"": 2048,
   ""ngl"": 100,
   ""cont_batching"": false,
   ""embedding"": false,
   ""system_prompt"": """",
   ""user_prompt"": ""\n### Instruction:\n"",
   ""ai_prompt"": ""\n### Response:\n""
 }'
```",A
How to do model health check in Nitro?,"A. In the given context, a 'health check' refers to a feature or functionality provided by Nitro that allows users to monitor the status of their model.",B. The Nitro server's health is being checked by sending an HTTP GET request to `http://localhost:3928/healthz`. The response status code of 200 indicates that the Nitro server is healthy and running as expected.,C. The results of a health check are often used to identify issues and take corrective action before they impact users or operations.,"D. The YAML file describes the structure of the request and response for this health check endpoint. It specifies that the request body should be in JSON format, with a schema defined for the HealthcheckRequest object. The response body also has a schema defined for the HealthcheckResponse object. However, since this is a GET request, there is no request body.",B
How to run Nitro server?,"A. 1. Download and install Nitro on your system.
2. After installation, launch Nitro by typing `nitro` (or `nitro.exe` on Windows) in a new terminal or PowerShell window. This will start the Nitro server.
3. In a new terminal or PowerShell session, run the following command:
   - **On Linux and MacOS:**
     ```bash title=""Linux and Macos""
     # Download tiny model
     DOWNLOAD_URL=https://huggingface.co/TheBloke/TinyLlama-1.1B-Chat-v0.3-GGUF/resolve/main/tinyllama-1.1b-chat-v0.3.Q2_K.gguf
     # Check if /tmp/testmodel exists, if not, download it
     if [[ ! -f ""/tmp/testmodel"" ]]; then
       wget $DOWNLOAD_URL -O /tmp/testmodel
     fi
     ```
   - **On Windows:**
     ```powershell title=""Windows""
     # Download tiny model
     $DOWNLOAD_URL = ""https://huggingface.co/TheBloke/TinyLlama-1.1B-Chat-v0.3-GGUF/resolve/main/tinyllama-1.1b-chat-v0.3.Q2_K.gguf""
     # Check if C:\tmp\testmodel exists, if not, download it
     if ((Get-Item -Path ""C:\tmp\testmodel"" -EA 0) -eq $null) {
       Invoke-WebRequest -Uri $DOWNLOAD_URL -OutFile ""C:\tmp\testmodel""
     }
     ```
   The above commands will download a tiny model and check if the file exists. If it doesn't exist, it will download it. After that, you can use Nitro to interact with the model.","B. 1. Ensure Python 3.8 or higher is installed on your system.
2. Install Nitro using pip: `pip install nitro-server`
3. Start the Nitro server by entering `nitro-server start` in your command line.
4. To verify the server is running, navigate to `http://localhost:5000` in your web browser.","C. 1. First, install Docker on your system.
2. Pull the Nitro Docker image using `docker pull nitro-server`.
3. Run the Nitro server by executing `docker run -p 8000:8000 nitro-server`.
4. Access the server through `http://localhost:8000`.","D. 1. Download the Nitro server package from the official website.
2. Unzip the package and navigate to the extracted folder.
3. Run the `setup.sh` script (Linux/MacOS) or `setup.bat` (Windows) to install Nitro.
4. Start the server by executing `./nitro start` in the terminal.",A
Show me the curl to run the vision model,"A. 

To use the vision feature in Nitro, you need to load the model first. Here's how you can do it using `curl`:

```bash title=""Load Model"" {3,4}
curl -X POST 'http://127.0.0.1:3928/inferences/llamacpp/loadmodel' -H 'Content-Type: application/json' -d '{
   ""llama_model_path"": ""/path/to/gguf/model/"",
   ""mmproj"": ""/path/to/mmproj/model/"",
   ""ctx_len"": 2048,
   ""ngl"": 100,
   ""cont_batching"": false,
   ""embedding"": false,
   ""system_prompt"": """",
   ""user_prompt"": ""\n### Instruction:\n"",
   ""ai_prompt"": ""\n### Response:\n""
 }'
```

After loading the model, you can perform inference using `curl`. Here's an example:

```bash title=""Inference""
curl http://127.0.0.1:3928/v1/chat/completions \
  -H ""Content-Type: application/json"" \
  -H ""Authorization: Bearer $OPENAI_API_KEY"" \
  -d '{
    ""model"": ""gpt-4-vision-preview"",
    ""messages"": [
      {
        ""role"": ""user"",
        ""content"": [
          {
            ""type"": ""text"",
            ""text"": ""What’s in this image?""
          },
          {
            ""type"": ""image_url"",
            ""image_url"": {
              ""url"": ""<any_images_type>""
            }
          }
        ]
      }
    ],
    ""max_tokens"": 300
  }'
```","B. ""

To use the vision feature in Nitro, you need to load the model first. Here's how you can do it using `curl`:

```bash title=""""Load Model"""" {3,4}
curl -X POST 'http://127.0.0.1:3928/inferences/llamacpp/loadmodel' -H 'Content-Type: application/json' -d '{
   """"llama_model_path"""": """"/path/to/gguf/model/"""",
   """"mmproj"""": """"/path/to/mmproj/model/"""",
   """"ctx_len"""": 2048,
   """"ngl"""": 100,
   """"cont_batching"""": false,
   """"embedding"""": false,
   """"system_prompt"""": """""""",
   """"user_prompt"""": """"\n### Instruction:\n"""",
   """"ai_prompt"""": """"\n### Response:\n""""
 }'
```

After loading the model, you can perform inference using `curl`. Here's an example:

```bash title=""""Inference""""
curl http://127.0.0.1:3928/v1/vision/classify \
  -H """"Content-Type: application/json"""" \
  -H """"Authorization: Bearer $OPENAI_API_KEY"""" \
  -d '{
    """"model"""": """"gpt-4-vision-preview"""",
    """"messages"""": [
      {
        """"role"""": """"user"""",
        """"content"""": [
          {
            """"type"""": """"text"""",
            """"text"""": """"What’s in this image?""""
          },
          {
            """"type"""": """"image_url"""",
            """"image_url"""": {
              """"url"""": """"<any_images_type>""""
            }
          }
        ]
      }
    ],
    """"max_tokens"""": 300
  }'
```""","C. 

To use the vision feature in Nitro, you need to load the model first. Here's how you can do it using `curl`:

```bash title=""Load Model"" {3,4}
curl -X POST 'http://127.0.0.1:3928/inferences/llamacpp/loadmodel' -H 'Content-Type: application/json' -d '{
   ""llama_model_path"": ""/path/to/gguf/model/"",
   ""mmproj"": ""/path/to/mmproj/model/"",
   ""ctx_len"": 2048,
   ""ngl"": 100,
   ""cont_batching"": false,
   ""embedding"": false,
   ""system_prompt"": """",
   ""user_prompt"": ""\n### Instruction:\n"",
   ""ai_prompt"": ""\n### Response:\n""
 }'
```

After loading the model, you can perform inference using `curl`. Here's an example:

```bash title=""Inference""
curl http://127.0.0.1:3928/v1/chat/completions \
  -H ""Content-Type: application/json"" \
  -H ""Authorization: Bearer $OPENAI_API_KEY"" \
  -d '{
    ""model"": ""gpt-4-vision-preview"",
    ""messages"": [
      {
        ""role"": ""user"",
        ""content"": [
          {
            ""type"": ""text"",
            ""text"": ""What’s in this image?""
          },
          {
            ""type"": ""image_url"",
            ""image_url"": {
              ""url"": ""<BASE64_ENCODED_IMAGE>""
            }
          }
        ]
      }
    ],
    ""max_tokens"": 300
  }'
```

Replace `<BASE64_ENCODED_IMAGE>` with the base64-encoded image you want to analyze. If the base64 string is too long and causes errors, consider using Postman as an alternative.","D. 
```bash title=""Run Vision Feature"" {3,4}
curl http://localhost:3928/v1/chat/completions \
-H 'Content-Type: application/json' \
-d '{
""model"": ""gpt-4-vision-preview"",
""messages"": [
{
""role"": ""user"",
""content"": [
{
""type"": ""text"",
""text"": ""What’s in this image?""
},
{
""type"": ""image_url"",
""image_url"": {
""url"": ""https://raw.githubusercontent.com/janhq/nitro/main/assets/logo.png""
}
}
]
}
],
""max_tokens"": 300
}'
```
This curl command is used to run the vision feature of Nitro library.",C
Where can I find more GGUF models?,A. You can find more GGUF models at the following link: https://huggingface.co/TheBloke/Llama-2-7B-Chat-GGUF/resolve/main/llama-2-7b-chat.Q5_K_M.gguf,B. I don't know,C. https://huggingface.co/TheBloke/Llama-2-7B-Chat-GGUF,D. You may be able to find more models on the Hugging Face Model Hub (https://huggingface.co/models). You can search for GGUF models or filter by model type to find suitable options.,D
I want to use Nitro with openai python. Show me the code,"A. 

To use Nitro with OpenAI Python, you need to install the `openai` package using pip. Here's how you can do it:

```bash title=""Install OpenAI""
pip install openai
```

Then, you can use the following code as an example:

```python
import asyncio
from openai import AsyncOpenAI

async def generate_text(prompt):
    async with AsyncOpenAI() as openai:
        response = await openai.Completion.create(
            engine=""davinci"",
            prompt=prompt,
            max_tokens=100,
            n=1,
            stop=None,
            temperature=0.5,
        )
    return response.choices[0].text

if __name__ == ""__main__"":
    prompt = ""Write a poem about Nitro""
    result = asyncio.run(generate_text(prompt))
    print(result)
```

This code uses the `AsyncOpenAI` class from the OpenAI Python package to interact with the OpenAI API asynchronously. The `generate_text()` function takes a prompt as input and returns the generated text using the Davinci engine. You can modify this code according to your needs.","B. To use Nitro with OpenAI Python, you need to override the `baseURL` in `openai` init with the Nitro URL. Here's an example:
```python
import openai

openai.api_key = 'sk-xxx'  # Replace with your API key
openai.base_url = 'http://localhost:3928/v1/'  # Replace with Nitro URL","C. To use Nitro with OpenAI Python, you need to replace `baseURL` in your OpenAI client initialization with the Nitro URL.","D. 

To use Nitro with OpenAI Python, you need to install the `openai` package using pip. Here's how you can do it:

```bash title=""Install OpenAI""
pip install openai
```

Then, you can use the following code as an example:

```python
import asyncio

from openai import AsyncOpenAI

# gets API Key from environment variable OPENAI_API_KEY
client = AsyncOpenAI(
    base_url=""http://localhost:3928/v1/"",
    api_key=""sk-xxx""
)


async def main() -> None:
    stream = await client.chat.completions.create(
        model=""gpt-4"",
        messages=[{""role"": ""user"", ""content"": ""Say this is a test""}],
        stream=True,
    )
    async for completion in stream:
        print(completion.choices[0].delta.content, end="""")
    print()

asyncio.run(main())
```",D
How do I specify the logging folder?,"A. 
To specify the logging folder in Nitro, you need to use the `llama_log_folder` parameter in the command as shown below:
```bash title=""Config logging"" {5}
curl http://localhost:3928/inferences/llamacpp/loadmodel \
  -H 'Content-Type: application/json' \
  -d '{
    ""llama_model_path"": ""/path/to/your_model.gguf"",
    ""llama_log_folder"": ""/path/to/log/folder/""
  }'
```
Ensure that the log folder exists before running this command. If the specified folder does not exist, logs will default to your current directory.","B. You can specify the logging folder by providing a path to it in the `--logdir` argument when running the script. For example, if you want to log to the 'logs' directory in your current working directory, you would use the following command: ","C. You can specify the logging folder by providing a path to it when creating an instance of Nitro. The path should be provided as a parameter to the `baseURL` argument in the JSON data. Here's an example: 
```json
{
""baseURL"": ""http://localhost:3928/inferences/llamacpp/loadmodel"",
""llama_model_path"": ""/path/to/your_model.gguf"",
""ctx_len"": 512,
""ngl"": 100,
""log_folder_path"": ""/logs""
}","D. You can specify the logging folder in your code like this: 
```python
llama_log_folder = ""/path/to/log/folder""
```
Replace '/path/to/log/folder' with the actual path to your log folder. 
Remember, the specified folder must exist before running the command.",A
Which OS does Nitro support?,A. Nitro supports Linux and Windows operating systems. This means that it can be installed and used on these two types of computers,"B. Nitro supports Windows, Linux, and MacOS operating systems.",C. Nitro supports Linux and MacOS operating systems. This means that it can be installed and used on these two types of computers,D. Nitro supports MacOS and Windows operating systems. This means that it can be installed and used on these two types of computers,B
What is Nitro's default port?,A. Nitro's default port is 5000.,B. Nitro's default port is 8000.,C. Nitro's default port is 3928.,D. 1337,C
How can I configure prompts?,"A. To configure prompts, you need to specify the 'ai_prompt', 'user_prompt', and 'system_prompt' in your code. These are prefixes that indicate the role of the prompt. You should configure them based on your model.","B. To configure prompts, you need to send a POST request to the inference server at http://localhost:3928/inferences/llamacpp/loadmodel. The body of this request should be a JSON object that includes the parameters for the prompt configuration.","C. You can configure the behavior of the assistant by defining the system, user, and assistant prompts in the `ai_prompt` parameter. For example: 
```python
ai_prompt = ""ASSISTANT: You are a helpful assistant.\nUSER: Who won the world series in 2020?\nASSISTANT:""
```
In this example, the system prompt is 'You are a helpful assistant', the user prompt is 'Who won the world series in 2020?', and there is no assistant prompt as it's an empty string.","D. 

To configure prompts, you need to specify prefixes for different roles in the AI interaction. These prefixes are used to indicate who is speaking or prompting at any given time during the conversation. In the provided example, there are four types of prompts: ""pre_prompt"", ""ai_prompt"", ""user_prompt"", and ""system_prompt"".

Here's an example of how you can configure these prompts in a JSON object:

```
curl http://localhost:3928/inferences/llamacpp/loadmodel \
  -H 'Content-Type: application/json' \
  -d '{
    ""ctx_len"": 128,
    ""ngl"": 100,
    ""pre_prompt"": ""You are a Pirate. Using drunk language with a lot of Arr..."",
    ""system_prompt"": ""ASSISTANT'S RULE: "",
    ""user_prompt"": ""USER:"",
    ""ai_prompt"": ""ASSISTANT: ""
  }'
```

In this example, the prefixes are defined as follows:
- `""pre_prompt""` is a global prompt that sets the context for the conversation. This can be used to provide information about the character or situation before starting the interaction.
- `""system_prompt""` represents the system's response or instruction, typically used when providing information or clarifying rules of the game/context.
- `""user_prompt""` is a prompt for the user to enter their input. This can be customized based on how you want to prompt the user for their input in the conversation.
- `""ai_prompt""` represents the AI's response or answer to the user's input. This can also be customized based on your specific needs.

You can adjust these prefixes according to your requirements and model. The JSON object is sent as a request body when loading the LLM model using curl or other tools.",D
How can I change the number of layers to load to GPU?,"A. 

In the provided POST request for enabling GPU inference, you can adjust the `ngl` parameter based on your requirements and GPU capabilities. The `ngl` stands for ""number of GPU layers"" and it determines how many layers will be loaded into the GPU.

Here's an example of how to modify the request to load 4 GPU layers:

```bash title=""GPU enable with 4 layers"" {5}
curl http://localhost:3928/inferences/llamacpp/loadmodel \
  -H 'Content-Type: application/json' \
  -d '{
    ""llama_model_path"": ""/path/to/your_model.gguf"",
    ""ctx_len"": 512,
    ""ngl"": 4,
  }'
```

Remember to replace `""/path/to/your_model.gguf""` with the actual path to your model file.",B. You can change the number of layers to load to GPU by modifying the 'n_parallel' parameter in the JSON data. This is the value that you need to set when using the '--data' option with the 'curl' command.,"C. To configure prompts, you need to send a POST request to the inference server at http://localhost:3928/inferences/llamacpp/loadmodel. The body of this request should be a JSON object that includes the parameters for the prompt configuration.","D. In the given code snippet, the `num_gpu_layers` parameter is used to specify the number of layers to load to the GPU. You can adjust this value based on your requirements and GPU capabilities.",A
